NCT03188185	28:35:chronic_disease	Has a significant risk for suicide
NCT03188185	46:49:chronic_disease	Has any current primary diagnosis other than MDD, where primary diagnosis is defined as the primary source of current distress and functional impairment
NCT03188185	50:62:chronic_disease,64:75:chronic_disease,80:89:chronic_disease	Has any other significant medical condition (eg, neurological, psychiatric, or metabolic) or clinical symptom that could unduly risk the subject or affect the interpretation of study data
NCT03188185	14:49:treatment,61:73:upper_bound,96:99:treatment,122:149:treatment	Has received electroconvulsive therapy treatment within the last 2 years or within the current MDE or failed a course of electroconvulsive treatment at any time
NCT03188185	10:25:treatment,31:38:treatment,40:49:treatment,51:59:treatment,61:69:treatment,74:92:treatment,98:106:treatment,108:118:treatment,127:140:upper_bound	Has used opioid agonists (eg, codeine, oxycodone, tramadol, morphine) or opioid antagonists (eg, naloxone, naltrexone) within 14 days prior to screening
NCT03188185	1:9:pregnancy	pregnant
NCT03188042	1:20:chronic_disease,41:61:chronic_disease	Auto-immune disease, acute stage (e.g., rheumatoid arthritis)
NCT03188042	9:24:chronic_disease,25:47:chronic_disease,55:68:chronic_disease	Certain mental diseases/psychiatric conditions (e.g., schizophrenia) that would preclude reliable testing and participation
NCT03188042	11:19:chronic_disease	Diagnosed epilepsy
NCT03188042	14:22:chronic_disease,53:71:chronic_disease	Diagnosis of glaucoma (not type-specific, excluding traumatic glaucoma): Moderate defect or worse in both eyes but not total blindness
NCT03188042	1:24:chronic_disease,81:89:chronic_disease,91:97:chronic_disease	End-stage organ disease or medical condition with subsequent vision loss (e.g., diabetes, stroke)
NCT03188042	1:18:chronic_disease,30:42:upper_bound	Epileptic seizure within the past 3 years of enrollment date
NCT03188042	1:27:clinical_variable,30:37:lower_bound	Intraocular Pressure (IOP) > 27 mmHg at baseline
NCT03188042	21:36:chronic_disease,64:104:clinical_variable,107:109:upper_bound	Medically diagnosed memory disorder or Telephone Interview for Cognitive Status-modified (TICS-m) score ≤ 27
NCT03188042	1:28:treatment	Metallic artifacts/implants in head and/or torso
NCT03188042	33:42:chronic_disease,70:75:lower_bound	Other diseases of the retina or cataracts responsible for worse than 20/70 best-corrected visual acuity
NCT03188042	30:38:chronic_disease	Other optic comorbidity than glaucoma
NCT03188042	21:38:allergy_name	Photosensitivity to flickering lights
NCT03188042	10:28:chronic_disease,36:44:chronic_disease,63:83:chronic_disease	Unstable medical conditions (e.g., diabetes, diabetes causing diabetic retinopathy)
NCT03188042	1:21:chronic_disease,43:51:lower_bound	Visual field defects present for at least 6 months
NCT03187951	24:38:treatment,46:53:lower_bound	Anticipated to undergo pancreatectomy in >/= 6 weeks from enrollment
NCT03187951	11:31:treatment	Completed preoperative therapy and are on their presurgical rest period
NCT03187951	1:10:chronic_disease,14:35:chronic_disease	Myopathic or rheumatologic disease that impacts physical function
NCT03187951	1:22:cancer	Neuroendocrine cancer
NCT03187951	1:26:clinical_variable,34:35:lower_bound,43:45:upper_bound	Numeric pain rating scale of >/= 7 out of 10
NCT03187951	1:18:cancer	Pancreatic cancer of any type, biopsy-proven
NCT03187951	11:17:cancer	Recurrent cancer following prior resection
NCT03187379	1:4:age,6:14:upper_bound	age <18 years
NCT03187379	1:18:treatment	bariatric surgery patients
NCT03187379	1:38:treatment	laparoscopic roux-en-y gastric bypass
NCT03187379	27:47:treatment	patients undergoing other bariatric procedures
NCT03187379	1:32:treatment	pre-operative opioid analgesics
NCT03187379	21:45:treatment	previous history of roux-en-y gastric bypass
NCT03187379	8:31:treatment	use of EEA stapler anastomosis
NCT03187028	1:9:lower_bound,13:16:age,31:67:cancer,77:84:treatment,204:216:upper_bound	18 years of age or older with resectable pancreatic adenocarcinoma for whom surgery is planned (includes borderline resectable if deemed appropriate by surgical investigators) or has occurred within the past 3 years
NCT03187028	1:17:language_fluency	English speaking
NCT03187028	15:46:cancer	not including skin or cervical cancer in situ
NCT03187028	1:29:cancer	pancreatic cancer recurrence
NCT03187028	1:26:chronic_disease	severe emotional distress
NCT03186937	1:61:clinical_variable,63:64:upper_bound	ECOG (Eastern Cooperative Oncology Group) performance status ≤1
NCT03186937	1:24:clinical_variable,29:56:clinical_variable,78:80:upper_bound	ER (estrogen receptors) and PR (progesterone receptors) expression must be < 2%
NCT03186937	1:5:clinical_variable,39:40:lower_bound,44:46:upper_bound,146:163:clinical_variable,168:171:upper_bound	HER2 must negative as shown be either 0 or 1+ by immunohistochemistry (if 2+, in situ hybridization method used to define HER2) OR by a HER2: 17 centromere signal of <2.0 using a standard in situ hybridization method
NCT03186937	4:17:treatment,30:43:cancer	No prior therapy for current breast cancer
NCT03186937	1:13:pregnancy	Non-pregnant
NCT03186937	10:23:chronic_disease	Operable breast cancer
NCT03186937	58:87:chronic_disease	Participants must have histologically confirmed operable triple negative breast cancer
NCT03186937	41:66:treatment,54:66:treatment,121:134:treatment	Participants who are planned to undergo neo-adjuvant chemotherapy are eligible as long as they consent to an additional breast biopsy following the dietary intervention immediately prior to starting chemotherapy
NCT03186937	55:82:chronic_disease	Patients not able to swallow oral medications or with gastrointestinal conditions that may impact absorption of oral medications
NCT03186937	77:93:chronic_disease,107:131:chronic_disease,133:157:chronic_disease,159:177:chronic_disease,182:201:chronic_disease	Uncontrolled intercurrent illness including, but not limited to, ongoing or active infection, symptomatic congestive heart failure, unstable angina pectoris, cardiac arrhythmia, or psychiatric illness/social situations that would limit compliance with study requirements
NCT03186937	1:6:gender,38:75:contraception_consent	Women of childbearing potential must agree to use effective contraceptives (as discussed with their physician) while participating in this study
NCT03186937	1:6:gender,45:63:pregnancy	Women of childbearing potential must have a negative pregnancy test to participate in this study
NCT03186872	1:17:language_fluency	English speaking and capable of understanding the informed consent and providing consent
NCT03186872	1:11:clinical_variable,16:17:lower_bound	GAD7 score >/= 8
NCT03186872	4:17:treatment,37:50:upper_bound	No psychotherapy within PCMH within past 6 months including with the psychologist
NCT03186872	1:14:technology_access	No smartphone
NCT03186872	1:30:chronic_disease	Personality pathology or PTSD (captured from DSM-V cross cutting symptoms inventory already being used as part of routine care screening in this clinic)
NCT03186872	8:21:chronic_disease,23:27:clinical_variable,30:32:lower_bound	Severe mood disorder (PHQ8 > 14)
NCT03186872	11:27:treatment	Stable on psychiatric meds for 4 weeks
NCT03186872	1:23:technology_access	access to a Smartphone
NCT03186872	1:4:age,5:7:lower_bound,8:10:upper_bound	age 21-55
NCT03186872	35:44:chronic_disease	evidence of active suicidality or psychosis (brief screen conducted by SWer in clinic using DSM-V cross cutting symptom inventory) to assess for psychosis
NCT03185208	2:26:chronic_disease	(mild psychiatric illness may be included)
NCT03185208	1:9:lower_bound	60 years or older
NCT03185208	21:28:allergy_name,36:55:chronic_disease	Contraindication to lithium (e.g., renal insufficiency)
NCT03185208	14:39:chronic_disease	Diagnosis of Mild Cognitive Impairment
NCT03185208	1:26:chronic_disease	Major psychiatric illness
NCT03185208	54:79:chronic_disease,87:96:chronic_disease	Unable to complete neuropsychological testing due to non-remediable impairment (e.g., blindness)
NCT03185130	1:4:age,5:7:lower_bound,11:19:upper_bound	Age 10 to 65 years
NCT03185130	1:12:chronic_disease,24:42:upper_bound	Head trauma within the previous two weeks
NCT03185130	12:37:chronic_disease	History of intracranial hypertension
NCT03185130	1:16:treatment,28:46:upper_bound	Lumbar puncture within the previous two weeks
NCT03185130	1:10:chronic_disease	Meningeal signs are present
NCT03185130	1:48:language_fluency	Non-English speaking patient or parent/guardian for pediatric patients
NCT03185130	1:9:pregnancy	Pregnant
NCT03185130	1:12:clinical_variable,23:30:upper_bound	Temperature less than 100.4 F
NCT03184389	1:21:language_fluency	Non-English Speakers
NCT03184389	49:71:treatment,79:99:treatment,101:110:treatment,112:123:treatment	Not taking or intending to take pharmacological smoking cessation aids (e.g., nicotine replacement, bupropion, venlafaxene) during the study period
NCT03184389	1:9:pregnancy,10:15:gender	Pregnant women
NCT03184389	48:76:treatment	Will not use non-cigarette tobacco products or nicotine replacement therapy during the study period
NCT03184389	45:53:lower_bound	Willing to try to quit smoking for at least 48 hours during a 15-day quit trial
NCT03183388	1:3:clinical_variable,15:17:upper_bound	IQ lower than 70
NCT03183388	38:49:clinical_variable,52:54:lower_bound,87:91:clinical_variable,94:96:lower_bound	Subjects with mood symptoms, such as Ham-D score ≥ 15 and/or for hypomania/mild mania YMRS ≥ 12
NCT03183388	69:74:chronic_disease	alcohol/substance use may be permitted if subject does not meet for DSM-5 current use disorder but will not be permitted for illicit substance use in the week prior to study
NCT03183388	109:123:chronic_disease	contraindication to MRI scanning, e.g. presence of a ferromagnetic object, including orthodontic braces, or claustrophobia
NCT03183388	12:34:chronic_disease,58:69:chronic_disease,108:117:lower_bound,129:145:chronic_disease,147:162:chronic_disease,166:183:cancer,188:214:chronic_disease	history of neurologic abnormality, including significant head trauma (defined by loss of consciousness of ≥5-minutes duration), seizure disorder, cerebrovascular or neoplastic lesion, or neurodegenerative disorder
NCT03183388	1:10:pregnancy	pregnancy
NCT03183128	13:15:lower_bound,19:26:upper_bound,45:55:treatment,76:87:treatment	(defined as 10 to 21 days of treatment with vancomycin [125 mg QID] and/or fidaxomicin [200 mg BID])
NCT03183128	1:26:clinical_variable,31:44:upper_bound	Absolute neutrophil count of <500 cells/ml3
NCT03183128	41:63:treatment,78:79:upper_bound	An adequate clinical response following SOC antibiotic therapy, defined as (<3 unformed stools in 24 hours) for 2 or more consecutive days before randomization
NCT03183128	32:44:treatment,46:58:treatment,63:81:treatment,86:103:cancer	Concurrent intensive induction chemotherapy, radiotherapy, or biologic treatment for active malignancy (subjects on maintenance chemotherapy may only be enrolled after consultation with the study medical monitor)
NCT03183128	1:16:gender,21:33:pregnancy,64:91:pregnancy	Female subjects who are pregnant, breastfeeding, lactating, or planning to become pregnant during the study
NCT03183128	12:45:chronic_disease,47:66:chronic_disease,67:82:chronic_disease,84:103:chronic_disease,185:198:upper_bound	History of active inflammatory bowel disease (ulcerative colitis, Crohn's disease, microscopic colitis) with diarrhea believed to be caused by active inflammatory bowel disease in the past 3 months
NCT03183128	1:31:treatment,38:78:treatment,87:95:upper_bound,137:149:treatment,153:168:treatment,195:204:treatment,208:225:treatment	Major gastrointestinal surgery (e.g. significant bowel resection or diversion) within 3 months before enrollment (this does not include appendectomy or cholecystectomy), or any history of total colectomy or bariatric surgery (bariatric surgery which does not disrupt the gastrointestinal lumen, i.e., restrictive procedures such as banding, are permitted)
NCT03183128	28:46:treatment	The requirement of CDI SOC antibiotic therapy
NCT03183128	1:7:gender	female subject
NCT03183128	3:11:lower_bound,15:18:age	≥ 18 years of age
NCT03183128	3:4:lower_bound	≥ 3 unformed stools per day for 2 consecutive days
NCT03183102	1:3:lower_bound,4:12:upper_bound	20-40 years
NCT03183102	1:3:lower_bound,4:14:upper_bound	22-29.9 kg/m2
NCT03183102	1:3:lower_bound,4:10:upper_bound	25-35 day cycles
NCT03183102	1:30:chronic_disease,80:83:clinical_variable,85:88:clinical_variable,90:110:clinical_variable,112:127:clinical_variable,130:165:lower_bound	Chronic hepatobiliary disease, conservatively defined as liver function tests (AST, ALT, alkaline phosphatase, Total Bilirubin) >1.5 times the upper limit of normal
NCT03183102	43:45:lower_bound,53:83:clinical_variable	Evidence for depressive symptoms (Score ≥ 18 on the Beck Depression Inventory, BDI)
NCT03183102	12:25:cancer,35:53:chronic_disease	History of breast cancer or other estrogen-dependent neoplasms
NCT03183102	12:40:chronic_disease	History of venous thromboembolic events
NCT03183102	1:27:contraception_consent,29:39:upper_bound	Hormonal contraceptive use (past 6 mo.)
NCT03183102	5:8:clinical_variable,16:30:clinical_variable,34:55:clinical_variable,58:62:upper_bound	Low BMD (i.e., proximal femur or lumbar spine z scores < -2.0)
NCT03183102	20:36:chronic_disease,61:81:clinical_variable,83:92:upper_bound	Moderate or severe renal impairment defined as a calculated creatinine clearance <50 mL/min based on the equation of Cockcroft and Gault91
NCT03183102	1:6:gender	Women with contraindications to GnRHAG
NCT03183102	11:18:upper_bound	exercise ≤120 min week−1
NCT03182907	43:71:treatment,76:79:chronic_disease,95:102:lower_bound	At randomization, their planned course of antibacterial drug treatment for CDI is longer than 21 days
NCT03182907	59:81:treatment	At screening has received any listed prohibited prior and concomitant treatments and procedures
NCT03182907	41:44:chronic_disease	At screening has suspected or confirmed CDI
NCT03182907	33:45:allergy_name	Has a known hypersensitivity to bezlotoxumab
NCT03182907	21:46:chronic_disease	Has an uncontrolled chronic diarrheal illness
NCT03182907	17:44:treatment,56:72:upper_bound	Has received an investigational study agent within the previous 30 days
NCT03182907	14:22:lower_bound	for at least 12 weeks after the last dose of study treatment
NCT03182907	16:23:treatment	has received a vaccine directed against C
NCT03182907	66:86:treatment	is currently participating in or scheduled to participate in any other clinical study with an investigational agent during the 12-week study period
NCT03182907	39:41:lower_bound,46:52:upper_bound,63:91:treatment,96:99:chronic_disease	receiving or is planning to receive a 10- to 21-day course of antibacterial drug treatment for CDI
NCT03182907	17:45:treatment,50:53:chronic_disease	still receiving antibacterial drug treatment for CDI
NCT03182751	1:25:treatment,37:54:upper_bound	Coronary stent placement within the previous 6 months
NCT03182751	1:21:clinical_variable,32:41:upper_bound	Creatinine clearance less than 30 mL/min
NCT03182751	1:39:chronic_disease	Disseminated intravascular coagulation
