110727.txt,110727.ann
101372.txt,101372.ann
106384.txt,106384.ann
107139.txt,107139.ann
110445.txt,110445.ann
115267.txt,115267.ann
175593.txt,175593.ann
159079.txt,159079.ann
103377.txt,103377.ann
120237.txt,120237.ann
192877.txt,192877.ann
108949.txt,108949.ann
113824.txt,113824.ann
109667.txt,109667.ann
114144.txt,114144.ann
125206.txt,125206.ann
114965.txt,114965.ann
114959.txt,114959.ann
134445.txt,134445.ann
107058.txt,107058.ann
123475.txt,123475.ann
176448.txt,176448.ann
110068.txt,110068.ann
102136.txt,102136.ann
176106.txt,176106.ann
130153.txt,130153.ann
106026.txt,106026.ann
102283.txt,102283.ann
110863.txt,110863.ann
121467.txt,121467.ann
102296.txt,102296.ann
102527.txt,102527.ann
103639.txt,103639.ann
147292.txt,147292.ann
110335.txt,110335.ann
106423.txt,106423.ann
149687.txt,149687.ann
106621.txt,106621.ann
113200.txt,113200.ann
197869.txt,197869.ann
105106.txt,105106.ann
114976.txt,114976.ann
101566.txt,101566.ann
102053.txt,102053.ann
108754.txt,108754.ann
108032.txt,108032.ann
168936.txt,168936.ann
195689.txt,195689.ann
116966.txt,116966.ann
101215.txt,101215.ann
124917.txt,124917.ann
190444.txt,190444.ann
182040.txt,182040.ann
102668.txt,102668.ann
188551.txt,188551.ann
114585.txt,114585.ann
102456.txt,102456.ann
102324.txt,102324.ann
114220.txt,114220.ann
189471.txt,189471.ann
153141.txt,153141.ann
118418.txt,118418.ann
121514.txt,121514.ann
141586.txt,141586.ann
160574.txt,160574.ann
191016.txt,191016.ann
115464.txt,115464.ann
191162.txt,191162.ann
110326.txt,110326.ann
107869.txt,107869.ann
128652.txt,128652.ann
102087.txt,102087.ann
127944.txt,127944.ann
190056.txt,190056.ann
157284.txt,157284.ann
102045.txt,102045.ann
187852.txt,187852.ann
128041.txt,128041.ann
110521.txt,110521.ann
101410.txt,101410.ann
105104.txt,105104.ann
115667.txt,115667.ann
144301.txt,144301.ann
108889.txt,108889.ann
111923.txt,111923.ann
186134.txt,186134.ann
123589.txt,123589.ann
177331.txt,177331.ann
103315.txt,103315.ann
109176.txt,109176.ann
109770.txt,109770.ann
114735.txt,114735.ann
177721.txt,177721.ann
104095.txt,104095.ann
105360.txt,105360.ann
109566.txt,109566.ann
110037.txt,110037.ann
122093.txt,122093.ann
143451.txt,143451.ann
130440.txt,130440.ann
160707.txt,160707.ann
111840.txt,111840.ann
118694.txt,118694.ann
103317.txt,103317.ann
105014.txt,105014.ann
100187.txt,100187.ann
114680.txt,114680.ann
116901.txt,116901.ann
122468.txt,122468.ann
112030.txt,112030.ann
108901.txt,108901.ann
186876.txt,186876.ann
106939.txt,106939.ann
115789.txt,115789.ann
104653.txt,104653.ann
126380.txt,126380.ann
127263.txt,127263.ann
